Mass_ID,Isobar,Stage1_hit,Stage2_hit,Hash,Hex,HexNAc,Neu5Ac,Fuc,NCore,DM1,MCC,Exp. Mass,Theo. Mass,Da,ppm,ch_A,ch_B,Abundance,Permutations,Permutation abundance
0,5,0,0,8832368063389986666,6,8,0,2,0,0,0,148057.122228,148057.86200000002,-0.7397720000299159,-4.996506028365558,A2G0F,A2G0F,100.0,1,100.0
1,27,0,0,8208747288675661170,8,6,1,1,0,0,0,148122.211018,148120.87000000002,1.341017999977339,9.053538505258164,A2S1G0F,M4,4.403296827368184,2,8.806593654736368
1,27,0,1,8208747288675661170,8,6,1,1,0,0,0,148122.211018,148120.87000000002,1.341017999977339,9.053538505258164,M4,A2S1G0F,4.403296827368184,2,8.806593654736368
1,27,2,0,3642551512348173890,5,4,1,1,1,0,0,148122.211018,148120.87000000002,1.341017999977339,9.053538505258164,Unglycosylated,A2S1G1F,45.596703172631806,2,91.19340634526361
1,27,2,1,3642551512348173890,5,4,1,1,1,0,0,148122.211018,148120.87000000002,1.341017999977339,9.053538505258164,A2S1G1F,Unglycosylated,45.596703172631806,2,91.19340634526361
2,37,0,0,-1219050057080621297,7,8,0,2,0,0,0,148220.11221,148220.00300000003,0.10920999996596947,0.7368101319358997,A2G0F,A2G1F,50.0,2,100.0
2,37,0,1,-1219050057080621297,7,8,0,2,0,0,0,148220.11221,148220.00300000003,0.10920999996596947,0.7368101319358997,A2G1F,A2G0F,50.0,2,100.0
3,73,3,0,-2739754259387376580,8,5,0,0,1,0,0,148369.515872,148373.08900000004,-3.5731280000472907,-24.08204900315373,M5,A1G0,41.89422953444981,2,83.78845906889963
3,73,3,1,-2739754259387376580,8,5,0,0,1,0,0,148369.515872,148373.08900000004,-3.5731280000472907,-24.08204900315373,A1G0,M5,41.89422953444981,2,83.78845906889963
3,73,3,2,5448161302868106960,8,5,0,0,1,0,0,148369.515872,148373.08900000004,-3.5731280000472907,-24.08204900315373,A1G1,M4,0.8690824211933736,2,1.7381648423867473
3,73,3,3,5448161302868106960,8,5,0,0,1,0,0,148369.515872,148373.08900000004,-3.5731280000472907,-24.08204900315373,M4,A1G1,0.8690824211933736,2,1.7381648423867473
3,82,2,0,-713849180239931116,7,8,1,1,0,0,0,148369.515872,148365.11700000003,4.398871999961557,29.648963913542804,A2G0,A2S1G0F,7.236688044356819,2,14.473376088713637
3,82,2,1,-713849180239931116,7,8,1,1,0,0,0,148369.515872,148365.11700000003,4.398871999961557,29.648963913542804,A2S1G0F,A2G0,7.236688044356819,2,14.473376088713637
4,85,1,0,2178225571527952377,3,4,0,0,0,2,0,148381.360467,148381.43620000003,-0.07573300003423356,-0.510394035626901,A2G0,Unglycosylated,0.6643769998530615,2,1.328753999706123
4,85,1,1,2178225571527952377,3,4,0,0,0,2,0,148381.360467,148381.43620000003,-0.07573300003423356,-0.510394035626901,Unglycosylated,A2G0,0.6643769998530615,2,1.328753999706123
4,92,0,0,-5872830558074228269,8,8,0,2,0,0,0,148381.360467,148382.14400000003,-0.7835330000380054,-5.28050733677231,A2G0F,A2G2F,13.737634767751084,2,27.475269535502168
4,92,0,1,-8697716817842587237,8,8,0,2,0,0,0,148381.360467,148382.14400000003,-0.7835330000380054,-5.28050733677231,A2G1F,A2G1F,71.06361221612181,1,71.06361221612181
4,92,0,2,-5872830558074228269,8,8,0,2,0,0,0,148381.360467,148382.14400000003,-0.7835330000380054,-5.28050733677231,A2G2F,A2G0F,13.737634767751084,2,27.475269535502168
4,96,1,0,335502197936977398,7,7,1,1,0,0,1,148381.360467,148383.173,-1.8125330000184476,-12.215219309391959,A1G0,A2S1G0F,0.06618212433494886,2,0.1323642486698977
4,96,1,1,335502197936977398,7,7,1,1,0,0,1,148381.360467,148383.173,-1.8125330000184476,-12.215219309391959,A2S1G0F,A1G0,0.06618212433494886,2,0.1323642486698977
5,106,0,0,-948787214771743726,9,8,0,1,0,0,0,148398.069585,148398.143,-0.07341500002075918,-0.494716433350242,A2G2F,A2G1,2.332861901429106,2,4.665723802858212
5,106,0,1,-948787214771743726,9,8,0,1,0,0,0,148398.069585,148398.143,-0.07341500002075918,-0.494716433350242,A2G1,A2G2F,2.332861901429106,2,4.665723802858212
5,106,1,0,-5971484415579936044,3,4,0,1,2,0,0,148398.069585,148398.143,-0.07341500002075918,-0.494716433350242,A2G0F,Unglycosylated,12.5935119547193,2,25.1870239094386
5,106,1,1,-5971484415579936044,3,4,0,1,2,0,0,148398.069585,148398.143,-0.07341500002075918,-0.494716433350242,Unglycosylated,A2G0F,12.5935119547193,2,25.1870239094386
5,106,2,0,8146212503678660464,6,6,0,1,1,0,0,148398.069585,148398.143,-0.07341500002075918,-0.494716433350242,A1G0F,A1G0,3.971081718412852,2,7.942163436825704
5,106,2,1,8146212503678660464,6,6,0,1,1,0,0,148398.069585,148398.143,-0.07341500002075918,-0.494716433350242,A1G0,A1G0F,3.971081718412852,2,7.942163436825704
5,115,1,0,5596978343480749226,6,2,0,0,1,1,0,148398.069585,148396.75360000003,1.3159849999647122,8.868017446742257,Unglycosylated,M6,0.21096456710063566,2,0.4219291342012713
5,115,1,1,5596978343480749226,6,2,0,0,1,1,0,148398.069585,148396.75360000003,1.3159849999647122,8.868017446742257,M6,Unglycosylated,0.21096456710063566,2,0.4219291342012713
5,115,2,0,-3614002435016727368,9,4,0,0,0,1,0,148398.069585,148396.75360000003,1.3159849999647122,8.868017446742257,M5,M4,0.334116471753291,2,0.668232943506582
5,115,2,1,-3614002435016727368,9,4,0,0,0,1,0,148398.069585,148396.75360000003,1.3159849999647122,8.868017446742257,M4,M5,0.334116471753291,2,0.668232943506582
5,117,0,0,-6469157070965968425,3,3,0,0,0,2,1,148398.069585,148399.49220000004,-1.4226150000467896,-9.586387250769778,A1G0,Unglycosylated,0.8402825977737184,2,1.6805651955474368
5,117,0,1,-6469157070965968425,3,3,0,0,0,2,1,148398.069585,148399.49220000004,-1.4226150000467896,-9.586387250769778,Unglycosylated,A1G0,0.8402825977737184,2,1.6805651955474368
5,121,1,0,-4294015197614748130,8,7,0,2,0,0,1,148398.069585,148400.2,-2.1304150000214577,-14.355876879016723,A2G1F,A1G1F,20.355566865403766,2,40.71113373080753
5,121,1,1,-5616274384570962978,8,7,0,2,0,0,1,148398.069585,148400.2,-2.1304150000214577,-14.355876879016723,A1G0F,A2G2F,9.361613923407319,2,18.723227846814638
5,121,1,2,-5616274384570962978,8,7,0,2,0,0,1,148398.069585,148400.2,-2.1304150000214577,-14.355876879016723,A2G2F,A1G0F,9.361613923407319,2,18.723227846814638
5,121,1,3,-4294015197614748130,8,7,0,2,0,0,1,148398.069585,148400.2,-2.1304150000214577,-14.355876879016723,A1G1F,A2G1F,20.355566865403766,2,40.71113373080753
6,133,2,0,4477112814167943337,8,7,1,2,0,0,0,148469.430537,148470.20600000003,-0.77546300002723,-5.223020974506022,A1G0F,A2S1G1F,17.968108267137392,2,35.936216534274784
6,133,2,1,1347339674978116468,8,7,1,2,0,0,0,148469.430537,148470.20600000003,-0.77546300002723,-5.223020974506022,A1G1F,A2S1G0F,3.3233303912915564,2,6.646660782583113
6,133,2,2,4477112814167943337,8,7,1,2,0,0,0,148469.430537,148470.20600000003,-0.77546300002723,-5.223020974506022,A2S1G1F,A1G0F,17.968108267137392,2,35.936216534274784
6,133,2,3,1347339674978116468,8,7,1,2,0,0,0,148469.430537,148470.20600000003,-0.77546300002723,-5.223020974506022,A2S1G0F,A1G1F,3.3233303912915564,2,6.646660782583113
6,144,1,0,2178225571527952377,3,4,0,0,2,0,1,148469.430537,148473.25100000002,-3.820463000010932,-25.731658559904044,A2G0,Unglycosylated,22.209591056193,2,44.419182112386
6,144,1,1,2178225571527952377,3,4,0,0,2,0,1,148469.430537,148473.25100000002,-3.820463000010932,-25.731658559904044,Unglycosylated,A2G0,22.209591056193,2,44.419182112386
6,144,2,0,-5636172348269498355,6,6,0,0,1,0,1,148469.430537,148473.25100000002,-3.820463000010932,-25.731658559904044,A1G0,A1G0,12.997940570756109,1,12.997940570756109
7,159,2,0,9057367428553476537,7,8,1,2,0,0,0,148509.496503,148511.25900000002,-1.7624970000179019,-11.867766874280566,A2G0F,A2S1G0F,50.0,2,100.0
7,159,2,1,9057367428553476537,7,8,1,2,0,0,0,148509.496503,148511.25900000002,-1.7624970000179019,-11.867766874280566,A2S1G0F,A2G0F,50.0,2,100.0
8,184,0,0,-2219647344881759879,4,4,0,0,0,2,0,148541.783785,148543.57720000003,-1.7934150000219233,-12.073325779728986,A2G1,Unglycosylated,0.8793150485158575,2,1.758630097031715
8,184,0,1,-2219647344881759879,4,4,0,0,0,2,0,148541.783785,148543.57720000003,-1.7934150000219233,-12.073325779728986,Unglycosylated,A2G1,0.8793150485158575,2,1.758630097031715
8,189,0,0,-3229609708451557070,9,8,0,2,0,0,0,148541.783785,148544.28500000003,-2.501215000025695,-16.83817724812297,A2G1F,A2G2F,33.862364030735236,2,67.72472806147047
8,189,0,1,-3229609708451557070,9,8,0,2,0,0,0,148541.783785,148544.28500000003,-2.501215000025695,-16.83817724812297,A2G2F,A2G1F,33.862364030735236,2,67.72472806147047
8,189,2,0,759381464316185159,6,6,0,2,1,0,0,148541.783785,148544.28500000003,-2.501215000025695,-16.83817724812297,A1G0F,A1G0F,16.67591437875576,1,16.67591437875576
8,192,0,0,-7644337172617823621,8,7,1,1,0,0,1,148541.783785,148545.314,-3.5302150000061374,-23.76523974365248,A1G0,A2S1G1F,0.37074218853712093,2,0.7414843770742419
8,192,0,1,-7644337172617823621,8,7,1,1,0,0,1,148541.783785,148545.314,-3.5302150000061374,-23.76523974365248,A2S1G1F,A1G0,0.37074218853712093,2,0.7414843770742419
8,192,0,2,8353325669167897036,8,7,1,1,0,0,1,148541.783785,148545.314,-3.5302150000061374,-23.76523974365248,A1G1,A2S1G0F,0.045404855472112364,2,0.09080971094422473
8,192,0,3,8353325669167897036,8,7,1,1,0,0,1,148541.783785,148545.314,-3.5302150000061374,-23.76523974365248,A2S1G0F,A1G1,0.045404855472112364,2,0.09080971094422473
8,193,1,0,2178225571527952377,3,4,0,0,1,1,1,148541.783785,148537.96860000002,3.815184999984922,25.684914341725563,A2G0,Unglycosylated,1.8154823630995507,2,3.6309647261991014
8,193,1,1,2178225571527952377,3,4,0,0,1,1,1,148541.783785,148537.96860000002,3.815184999984922,25.684914341725563,Unglycosylated,A2G0,1.8154823630995507,2,3.6309647261991014
