Fuc,Hex,HexNAc,N-core,Neu5Ac,Massindex,Isobar,Hit,DM5,Exp. Mass,Theo. Mass,Da.,ppm,ch_A,ch_B
0,1,4,2,0,12,1191,0,1,148879.91285730497,148883.06068000002,-3.147822695056675,-21.142920360983236,G0,G1
0,1,4,2,0,12,1191,0,1,148879.91285730497,148883.06068000002,-3.147822695056675,-21.142920360983236,G1,G0
0,1,4,2,0,13,1191,3,1,148884.7236457498,148883.06068000002,1.662965749768773,11.169610177097637,G0,G1
0,1,4,2,0,13,1191,3,1,148884.7236457498,148883.06068000002,1.662965749768773,11.169610177097637,G1,G0
0,1,4,2,0,152,272208,0,9,156540.88573592584,156539.06068000002,1.8250559258158319,11.65878930081639,G0,G1
0,1,4,2,0,152,272208,0,9,156540.88573592584,156539.06068000002,1.8250559258158319,11.65878930081639,G1,G0
0,2,2,2,0,98,70255,1,6,153422.98754989565,153423.81576000003,-0.8282101043732837,-5.398184762063589,Man5,G0
0,2,2,2,0,98,70255,1,6,153422.98754989565,153423.81576000003,-0.8282101043732837,-5.398184762063589,G0,Man5
0,2,4,2,0,16,1609,2,1,149044.4933913535,149045.20152,-0.708128646510886,-4.751099930015956,G0,G2
0,2,4,2,0,16,1609,2,1,149044.4933913535,149045.20152,-0.708128646510886,-4.751099930015956,G1,G1
0,2,4,2,0,16,1609,2,1,149044.4933913535,149045.20152,-0.708128646510886,-4.751099930015956,G2,G0
0,2,4,2,0,70,28322,2,4,151913.23127497072,151916.20152,-2.9702450292825233,-19.55186477520955,G0,G2
0,2,4,2,0,70,28322,2,4,151913.23127497072,151916.20152,-2.9702450292825233,-19.55186477520955,G1,G1
0,2,4,2,0,70,28322,2,4,151913.23127497072,151916.20152,-2.9702450292825233,-19.55186477520955,G2,G0
0,2,4,2,0,104,85947,2,6,153833.6457197162,153830.20152,3.44419971620664,22.389619737700514,G0,G2
0,2,4,2,0,104,85947,2,6,153833.6457197162,153830.20152,3.44419971620664,22.389619737700514,G1,G1
0,2,4,2,0,104,85947,2,6,153833.6457197162,153830.20152,3.44419971620664,22.389619737700514,G2,G0
0,3,2,2,0,26,3867,2,2,149753.9382508571,149757.9566,-4.018349142890656,-26.832291479667905,Man5,G1
0,3,2,2,0,26,3867,2,2,149753.9382508571,149757.9566,-4.018349142890656,-26.832291479667905,G1,Man5
